# Sr.No.    k (1/nm)             Energy(eV) 
  1         1.000000e-03         5.823880e-06   
  2         2.000000e-03         7.084226e-06   
  3         3.000000e-03         9.184796e-06   
  4         4.000000e-03         1.212558e-05   
  5         5.000000e-03         1.590657e-05   
  6         6.000000e-03         2.052774e-05   
  7         7.000000e-03         2.598908e-05   
  8         8.000000e-03         3.229056e-05   
  9         9.000000e-03         3.943216e-05   
  10         1.000000e-02         4.741384e-05   
  11         1.100000e-02         5.623557e-05   
  12         1.200000e-02         6.589731e-05   
  13         1.300000e-02         7.639902e-05   
  14         1.400000e-02         8.774065e-05   
  15         1.500000e-02         9.992215e-05   
  16         1.600000e-02         1.129435e-04   
  17         1.700000e-02         1.268046e-04   
  18         1.800000e-02         1.415054e-04   
  19         1.900000e-02         1.570458e-04   
  20         2.000000e-02         1.734258e-04   
  21         2.100000e-02         1.906453e-04   
  22         2.200000e-02         2.087043e-04   
  23         2.300000e-02         2.276026e-04   
  24         2.400000e-02         2.473401e-04   
  25         2.500000e-02         2.679168e-04   
  26         2.600000e-02         2.893327e-04   
  27         2.700000e-02         3.115875e-04   
  28         2.800000e-02         3.346812e-04   
  29         2.900000e-02         3.586137e-04   
  30         3.000000e-02         3.833850e-04   
  31         3.100000e-02         4.089948e-04   
  32         3.200000e-02         4.354431e-04   
  33         3.300000e-02         4.627298e-04   
  34         3.400000e-02         4.908547e-04   
  35         3.500000e-02         5.198177e-04   
  36         3.600000e-02         5.496187e-04   
  37         3.700000e-02         5.802576e-04   
  38         3.800000e-02         6.117343e-04   
  39         3.900000e-02         6.440485e-04   
  40         4.000000e-02         6.772002e-04   
  41         4.100000e-02         7.111892e-04   
  42         4.200000e-02         7.460154e-04   
  43         4.300000e-02         7.816786e-04   
  44         4.400000e-02         8.181787e-04   
  45         4.500000e-02         8.555154e-04   
  46         4.600000e-02         8.936888e-04   
  47         4.700000e-02         9.326985e-04   
  48         4.800000e-02         9.725444e-04   
  49         4.900000e-02         1.013226e-03   
  50         5.000000e-02         1.054744e-03   
  51         5.100000e-02         1.097098e-03   
  52         5.200000e-02         1.140287e-03   
  53         5.300000e-02         1.184311e-03   
  54         5.400000e-02         1.229170e-03   
  55         5.500000e-02         1.274865e-03   
  56         5.600000e-02         1.321394e-03   
  57         5.700000e-02         1.368757e-03   
  58         5.800000e-02         1.416955e-03   
  59         5.900000e-02         1.465987e-03   
  60         6.000000e-02         1.515853e-03   
  61         6.100000e-02         1.566553e-03   
  62         6.200000e-02         1.618086e-03   
  63         6.300000e-02         1.670452e-03   
  64         6.400000e-02         1.723651e-03   
  65         6.500000e-02         1.777684e-03   
  66         6.600000e-02         1.832548e-03   
  67         6.700000e-02         1.888245e-03   
  68         6.800000e-02         1.944774e-03   
  69         6.900000e-02         2.002135e-03   
  70         7.000000e-02         2.060328e-03   
  71         7.100000e-02         2.119351e-03   
  72         7.200000e-02         2.179206e-03   
  73         7.300000e-02         2.239892e-03   
  74         7.400000e-02         2.301408e-03   
  75         7.500000e-02         2.363755e-03   
  76         7.600000e-02         2.426931e-03   
  77         7.700000e-02         2.490938e-03   
  78         7.800000e-02         2.555774e-03   
  79         7.900000e-02         2.621439e-03   
  80         8.000000e-02         2.687933e-03   
  81         8.100000e-02         2.755255e-03   
  82         8.200000e-02         2.823406e-03   
  83         8.300000e-02         2.892385e-03   
  84         8.400000e-02         2.962192e-03   
  85         8.500000e-02         3.032826e-03   
  86         8.600000e-02         3.104287e-03   
  87         8.700000e-02         3.176575e-03   
  88         8.800000e-02         3.249690e-03   
  89         8.900000e-02         3.323630e-03   
  90         9.000000e-02         3.398397e-03   
  91         9.100000e-02         3.473989e-03   
  92         9.200000e-02         3.550407e-03   
  93         9.300000e-02         3.627649e-03   
  94         9.400000e-02         3.705716e-03   
  95         9.500000e-02         3.784608e-03   
  96         9.600000e-02         3.864323e-03   
  97         9.700000e-02         3.944862e-03   
  98         9.800000e-02         4.026223e-03   
  99         9.900000e-02         4.108408e-03   
  100         1.000000e-01         4.191416e-03   
  101         1.100000e-01         5.066648e-03   
  102         1.200000e-01         6.023718e-03   
  103         1.300000e-01         7.062219e-03   
  104         1.400000e-01         8.181707e-03   
  105         1.500000e-01         9.381708e-03   
  106         1.600000e-01         1.066172e-02   
  107         1.700000e-01         1.202119e-02   
  108         1.800000e-01         1.345956e-02   
  109         1.900000e-01         1.497623e-02   
  110         2.000000e-01         1.657057e-02   
  111         2.100000e-01         1.824191e-02   
  112         2.200000e-01         1.998958e-02   
  113         2.300000e-01         2.181286e-02   
  114         2.400000e-01         2.371101e-02   
  115         2.500000e-01         2.568327e-02   
  116         2.600000e-01         2.772885e-02   
  117         2.700000e-01         2.984694e-02   
  118         2.800000e-01         3.203671e-02   
  119         2.900000e-01         3.429729e-02   
  120         3.000000e-01         3.662783e-02   
  121         3.100000e-01         3.902742e-02   
  122         3.200000e-01         4.149517e-02   
  123         3.300000e-01         4.403013e-02   
  124         3.400000e-01         4.663139e-02   
  125         3.500000e-01         4.929798e-02   
  126         3.600000e-01         5.202894e-02   
  127         3.700000e-01         5.482331e-02   
  128         3.800000e-01         5.768009e-02   
  129         3.900000e-01         6.059830e-02   
  130         4.000000e-01         6.357695e-02   
  131         4.100000e-01         6.661504e-02   
  132         4.200000e-01         6.971156e-02   
  133         4.300000e-01         7.286553e-02   
  134         4.400000e-01         7.607595e-02   
  135         4.500000e-01         7.934181e-02   
  136         4.600000e-01         8.266214e-02   
  137         4.700000e-01         8.603595e-02   
  138         4.800000e-01         8.946227e-02   
  139         4.900000e-01         9.294013e-02   
  140         5.000000e-01         9.646860e-02   
  141         5.100000e-01         1.000467e-01   
  142         5.200000e-01         1.036736e-01   
  143         5.300000e-01         1.073484e-01   
  144         5.400000e-01         1.110701e-01   
  145         5.500000e-01         1.148380e-01   
  146         5.600000e-01         1.186512e-01   
  147         5.700000e-01         1.225089e-01   
  148         5.800000e-01         1.264104e-01   
  149         5.900000e-01         1.303550e-01   
  150         6.000000e-01         1.343418e-01   
  151         6.100000e-01         1.383704e-01   
  152         6.200000e-01         1.424401e-01   
  153         6.300000e-01         1.465502e-01   
  154         6.400000e-01         1.507004e-01   
  155         6.500000e-01         1.548901e-01   
  156         6.600000e-01         1.589673e-01   
  157         6.700000e-01         1.632649e-01   
  158         6.800000e-01         1.676005e-01   
  159         6.900000e-01         1.719734e-01   
  160         7.000000e-01         1.763829e-01   
  161         7.100000e-01         1.808282e-01   
  162         7.200000e-01         1.853087e-01   
  163         7.300000e-01         1.898236e-01   
  164         7.400000e-01         1.943722e-01   
  165         7.500000e-01         1.989538e-01   
