# S.No.    Energy (eV)       g(E)
  1        0.000000e+00      5.442241e-09  
  2        1.260346e-06      8.223389e-09  
  3        3.360915e-06      9.849400e-09  
  4        6.301700e-06      1.119790e-08  
  5        1.008269e-05      1.255470e-08  
  6        1.470386e-05      1.404181e-08  
  7        2.016520e-05      1.572446e-08  
  8        2.646668e-05      1.764454e-08  
  9        3.360828e-05      1.983312e-08  
  10        4.158996e-05      2.231553e-08  
  11        5.041169e-05      2.511369e-08  
  12        6.007343e-05      2.824710e-08  
  13        7.057514e-05      3.173333e-08  
  14        8.191677e-05      3.558815e-08  
  15        9.409827e-05      3.982554e-08  
  16        1.071196e-04      4.445774e-08  
  17        1.209807e-04      4.949511e-08  
  18        1.356815e-04      5.494615e-08  
  19        1.512219e-04      6.081744e-08  
  20        1.676019e-04      6.711362e-08  
  21        1.848214e-04      7.383739e-08  
  22        2.028804e-04      8.098959e-08  
  23        2.217787e-04      8.856915e-08  
  24        2.415162e-04      9.657326e-08  
  25        2.620930e-04      1.049974e-07  
  26        2.835088e-04      1.138354e-07  
  27        3.057636e-04      1.230797e-07  
  28        3.288573e-04      1.327213e-07  
  29        3.527899e-04      1.427500e-07  
  30        3.775611e-04      1.237340e-07  
  31        4.031709e-04      1.324879e-07  
  32        4.296192e-04      1.415315e-07  
  33        4.569059e-04      1.508540e-07  
  34        4.850308e-04      1.604437e-07  
  35        5.139938e-04      1.702885e-07  
  36        5.437949e-04      1.803763e-07  
  37        5.744338e-04      1.906944e-07  
  38        6.059104e-04      2.012304e-07  
  39        6.382246e-04      2.119713e-07  
  40        6.713763e-04      2.229047e-07  
  41        7.053653e-04      2.340179e-07  
  42        7.401915e-04      2.452986e-07  
  43        7.758547e-04      2.567344e-07  
  44        8.123548e-04      2.683134e-07  
  45        8.496916e-04      2.800240e-07  
  46        8.878649e-04      2.918548e-07  
  47        9.268746e-04      3.037947e-07  
  48        9.667205e-04      3.158331e-07  
  49        1.007402e-03      3.279597e-07  
  50        1.048920e-03      3.401646e-07  
  51        1.091274e-03      3.524385e-07  
  52        1.134463e-03      3.647721e-07  
  53        1.178487e-03      3.771568e-07  
  54        1.223346e-03      3.895845e-07  
  55        1.269041e-03      4.020472e-07  
  56        1.315570e-03      4.145603e-07  
  57        1.362933e-03      4.270713e-07  
  58        1.411131e-03      4.395962e-07  
  59        1.460163e-03      4.521286e-07  
  60        1.510029e-03      4.646389e-07  
  61        1.560729e-03      4.771687e-07  
  62        1.612262e-03      4.896891e-07  
  63        1.664628e-03      5.021953e-07  
  64        1.717828e-03      5.147153e-07  
  65        1.771860e-03      5.271794e-07  
  66        1.826724e-03      5.395895e-07  
  67        1.882421e-03      5.519949e-07  
  68        1.938950e-03      5.643925e-07  
  69        1.996311e-03      5.767251e-07  
  70        2.054504e-03      5.890165e-07  
  71        2.113528e-03      6.012639e-07  
  72        2.173382e-03      6.134644e-07  
  73        2.234068e-03      6.256156e-07  
  74        2.295584e-03      6.377151e-07  
  75        2.357931e-03      6.497266e-07  
  76        2.421108e-03      6.210251e-07  
  77        2.485114e-03      6.323098e-07  
  78        2.549950e-03      6.434877e-07  
  79        2.615615e-03      6.545883e-07  
  80        2.682109e-03      6.656431e-07  
  81        2.749431e-03      6.766341e-07  
  82        2.817582e-03      6.875600e-07  
  83        2.886561e-03      6.984307e-07  
  84        2.956368e-03      7.092230e-07  
  85        3.027002e-03      7.199470e-07  
  86        3.098463e-03      7.306245e-07  
  87        3.170751e-03      7.412089e-07  
  88        3.243866e-03      7.517224e-07  
  89        3.317807e-03      7.621304e-07  
  90        3.392573e-03      7.725163e-07  
  91        3.468166e-03      7.828128e-07  
  92        3.544583e-03      7.930530e-07  
  93        3.621825e-03      8.032019e-07  
  94        3.699892e-03      8.132814e-07  
  95        3.778784e-03      8.232811e-07  
  96        3.858499e-03      8.332005e-07  
  97        3.939038e-03      8.430494e-07  
  98        4.020400e-03      8.528224e-07  
  99        4.102584e-03      8.625195e-07  
  100        4.185592e-03      8.721402e-07  
  101        5.060824e-03      9.457187e-07  
  102        6.017894e-03      1.028018e-06  
  103        7.056395e-03      1.080151e-06  
  104        8.175883e-03      1.144555e-06  
  105        9.375884e-03      1.213023e-06  
  106        1.065589e-02      1.262635e-06  
